2015.-1.1. 4:16:59	 -30
1922.0.9. 20:41:14	 cica
1969.1.24. 6:41:61	 28
1979.1.0. 18:32:33	 14
2009.8.20. 14:22:58	 38
1954.13.27. 15:27:53	 -2
1980.3.-1. 0:30:43	 39
2018.11.-1. 10:15:39	 19
1998.4.0. 12:9:21	 42
1931.12.17. -1:37:46	 cicakutya
1934.5.4. 15:48:14	 cicakutya
1926.10.27. 22:48:34	 kutya
1954.6.7. 1:4:6	 8
1932.-1.13. 15:13:9	 cicakutya
1948.11.22. 8:6:-1	 46
1975.11.18. 6:3:49	 -8
1926.2.33. 11:1:38	 kutya
1947.4.15. 2:11:30	 35
1921.11.15. 0:31:40	 cica
1946.5.7. 26:34:45	 -9
2008.7.17. 10:51:51	 15
1922.1.28. 17:42:15	 cica
1923.12.6. 13:20:41	 cica
2006.0.25. 6:45:54	 -12
1965.2.13. 14:0:21	 46
1935.3.21. 13:53:37	 cicakutya
1965.6.29. 9:38:30	 13
1992.11.11. 17:58:46	 -11
1983.1.13. 7:7:9	 -23
2005.4.16. 14:43:59	 25
1978.1.15. 7:57:23	 -20
1984.5.9. 6:61:-1	 -21
2017.4.31. 9:11:20	 -23
2004.8.25. 19:62:29	 17
1970.4.11. 0:28:24	 15
2005.8.15. -1:3:63	 48
2000.12.1. 23:19:4	 48
1926.9.33. 6:28:25	 kutya
1941.-1.14. 0:34:46	 28
1977.10.25. -1:7:52	 35
1941.6.17. 24:22:55	 11
1945.3.14. 1:36:58	 -5
1990.12.8. 23:29:60	 31
2009.13.30. 19:53:61	 -14
1947.8.14. 22:24:0	 48
1966.-1.26. 13:20:49	 10
1978.12.6. -1:3:57	 -15
1993.0.11. 3:42:56	 26
1947.8.10. 24:23:57	 19
1999.9.29. 20:64:22	 -23
1950.6.6. 1:30:7	 6
1977.11.0. 0:1:44	 14
1952.12.-1. 2:36:-1	 36
1957.11.26. 5:30:60	 48
1998.4.10. 7:63:23	 45
2014.13.21. 20:2:1	 4
1956.10.22. 6:42:30	 13
2001.11.-1. 3:7:7	 4
1987.11.14. 4:37:23	 49
1942.12.14. 5:12:23	 7
2012.10.5. 6:38:62	 37
1998.2.27. 10:39:29	 13
2016.5.34. 6:37:7	 12
1995.-1.22. 6:59:34	 48
2018.11.23. 17:47:21	 -16
1937.6.25. 16:48:37	 cicakutya
1983.1.11. 13:39:26	 -28
2008.-1.25. 17:20:36	 14
2014.10.19. 26:60:33	 -28
2012.8.5. 7:32:12	 14
1924.3.14. 4:9:33	 cica
2006.7.11. 7:57:45	 35
1979.5.0. 4:17:10	 13
1976.10.11. 12:10:56	 8
1934.12.26. 6:16:45	 cicakutya
2011.13.33. 25:27:25	 -20
1999.1.11. 23:24:52	 1
1945.12.26. 16:4:64	 -5
2002.1.8. 5:42:16	 -9
2012.6.11. 0:33:51	 20
1973.6.24. 18:1:24	 -10
2015.3.1. 0:9:45	 4
1983.2.0. 2:7:51	 31
2003.7.13. 23:64:33	 20
2000.11.14. 0:15:-1	 -19
1948.8.6. 19:40:8	 25
1926.0.17. 1:9:20	 kutya
1959.11.22. 10:17:24	 44
1970.7.28. 8:21:49	 25
1998.4.9. 19:8:37	 -30
1987.7.27. 24:29:6	 -6
1988.0.19. 4:41:57	 36
2018.11.34. 23:22:51	 25
1979.8.13. 6:19:14	 45
1989.11.8. 23:17:17	 -27
1959.6.15. 12:32:29	 17
2004.10.32. 18:50:2	 47
1956.1.25. 6:44:29	 -7
1982.13.24. 17:4:59	 5
1962.-1.30. 9:6:48	 7
1949.5.17. 19:16:65	 -30
1961.1.18. 12:64:36	 15
1989.12.19. 8:24:58	 24
1960.-1.13. 9:7:7	 8
1971.2.0. 24:34:45	 -25
1960.-1.32. 5:61:58	 -3
1926.5.5. 15:1:4	 kutya
1964.12.22. 26:29:6	 -1
2013.5.11. 12:29:33	 44
2004.5.0. 6:65:54	 29
1930.6.3. 0:24:49	 cicakutya
1992.0.12. 24:2:63	 -16
2011.11.29. 15:22:5	 33
1976.9.32. 0:1:60	 21
2003.1.32. 8:53:12	 17
1934.4.19. 21:13:5	 cicakutya
1974.9.2. 22:2:36	 -10
1975.4.2. 0:48:29	 -6
1944.1.2. 8:56:46	 -21
1957.4.12. 11:37:54	 47
1942.2.5. 2:63:53	 47
1954.5.-1. 3:10:65	 -18
1942.2.2. 20:14:22	 -28
2018.9.16. 7:3:18	 6
2014.10.15. 19:24:22	 20
1924.-1.7. 7:25:41	 cica
1966.3.27. 2:20:46	 -20
1974.6.24. 18:25:53	 -26
2018.1.4. 16:9:38	 32
1979.-1.20. 13:15:49	 0
1939.2.14. 23:4:59	 cicakutya
1959.1.18. 0:36:23	 39
1988.3.8. 25:53:47	 41
1936.5.33. 0:65:-1	 cicakutya
1988.5.12.2008.11.22. 15:61:13	 24
1933.5.0. 10:61:58	 cicakutya
1935.13.9. 16:6:59	 cicakutya
1961.3.23. 9:18:25	 -6
1931.9.5. 26:58:5	 cicakutya
1988.-1.16. 14:60:43	 4
1934.2.23. 8:61:56	 cicakutya
1976.3.13. 6:47:9	 21
1993.0.4. 7:0:19	 10
1965.12.22. 12:65:27	 23
1931.-1.14. 3:16:19	 cicakutya
1941.12.27. 26:38:58	 18
1924.3.22. 5:14:24	 cica
1985.10.4. 11:36:20	 24
1991.7.23. 17:31:58	 36
1959.10.11. 15:64:50	 -17
1960.-1.20. 25:18:43	 -16
2009.4.-1. 26:65:29	 -28
1974.0.0. -1:58:34	 -9
1997.12.0. 24:24:10	 41
1937.2.0. 22:0:47	 cicakutya
1966.1.0. -1:4:52	 -25
2003.3.31. 18:40:9	 39
2010.7.21. 2:33:34	 16
1986.0.23. 18:38:45	 20
2003.7.15. 8:6:34	 10
2016.-1.34. 12:15:61	 48
1953.-1.30. 5:22:25	 20
1977.11.7. 11:43:36	 -23
1924.12.4. 22:36:35	 cica
1997.0.15. -1:4:59	 21
2018.6.24. 4:7:63	 -1
1947.1.13. 26:42:43	 15
1983.11.32. 14:17:2	 48
1959.6.29. 10:29:52	 -16
2002.1.17. 3:27:24	 35
1979.9.1. -1:5:58	 -15
1976.7.14. 2:53:2	 3
1941.3.17. 20:11:55	 -11
1959.4.32. 16:36:48	 -4
1971.11.26. 25:8:44	 15
1957.7.17. 25:9:-1	 2
2000.10.8. 8:9:55	 30
1925.13.9. 10:40:59	 kutya
1921.7.0. 14:39:6	 cica
1980.9.8. 18:49:34	 49
2013.7.13. 20:63:38	 3
1939.1.1. 5:12:52	 cicakutya
1974.9.21. 6:34:24	 -2
1967.0.2. 0:48:11	 19
1973.8.0. 17:35:21	 14
1941.5.28. -1:30:64	 -24
1921.4.28. 0:1:63	 cica
1971.13.3. -1:24:14	 -23
2018.8.16. 0:38:63	 -13
2007.8.25. 6:48:6	 36
1942.0.31. 5:30:57	 29
1932.4.6. 11:36:48	 cicakutya
2009.10.19. 25:24:43	 37
1994.2.30. 2:36:38	 16
2017.8.30. 3:1:-1	 29
2002.3.25. 15:30:50	 34
2009.9.7. 16:63:1	 27
1977.10.21. 19:32:-1	 -6
2004.7.17. 12:36:6	 16
1942.13.8. 23:31:25	 -1
2009.6.4. 12:25:27	 -4
2002.3.1. 3:41:37	 -5
2017.7.13. 4:54:47	 21
1943.10.5. 16:40:65	 -17
1935.11.19. 11:45:1	 cicakutya
1936.2.26. 9:37:63	 cicakutya
1956.9.27. 5:21:11	 -7
1992.3.13. 11:12:59	 4
1950.13.8. 12:19:52	 48
2010.2.3. 21:36:31	 29
1944.4.9. 0:53:12	 28
1987.-1.11. 24:58:65	 -25
1941.7.21. 21:15:28	 -13
1942.5.22. 23:4:0	 25
1929.-1.-1. 23:-1:42	 kutya
1928.13.18. 18:50:54	 kutya
1962.6.26. 23:18:35	 -16
1993.8.14. 18:18:9	 -21
1951.1.22. 18:1:4	 8
1996.7.19. 5:51:24	 34
